frequency	tag	average_word_count	average_descendant_num	immediate_texts_average_length	URL_example	normal_name	preserved_attribute
15	<iframe allowfullscreen= height=@STYLE src=@LINK width=@STYLE>	0.0	0.0	0.0	https://vs.hu/magazin/osszes/vilagithatnak-e-a-golf-aramlat-segitsegevel-a-lampak-0813 https://vs.hu/magazin/osszes/vilagithatnak-e-a-golf-aramlat-segitsegevel-a-lampak-0813 https://vs.hu/magazin/osszes/meg-mindig-kihivas-nonek-lenni-mesel-a-magyar-szarmazasu-filmes-0629 https://vs.hu/magazin/osszes/a-disney-mesek-trukkjei-egy-videoban-0507 https://vs.hu/magazin/osszes/meg-mindig-kihivas-nonek-lenni-mesel-a-magyar-szarmazasu-filmes-0629	media_hivatkozas	src	
7	<iframe allowtransparency=true frameborder=no height=@STYLE src=@LINK width=@STYLE>	0.0	0.0	0.0	https://vs.hu/kozelet/osszes/aradnak-az-eredmenyek-a-valasztas-percol-percre-1012 https://vs.hu/kozelet/osszes/igy-szavaznak-europa-nepei-0525 https://vs.hu/sport/osszes/van-gaalt-kinevezte-a-manunited-0519 https://vs.hu/sport/osszes/parizsi-meszarlas-a-sportvilag-is-egyseges-a-charlie-hebdo-ugyben-0110 https://vs.hu/kozelet/osszes/aradnak-az-eredmenyek-a-valasztas-percol-percre-1012	media_hivatkozas	src	
1	<iframe frameborder=@NUM height=@STYLE scrolling=auto src=@LINK width=@STYLE>	0.0	0.0	0.0	https://vs.hu/kozelet/osszes/izraeli-patriot-lotte-le-a-sziriai-vadaszgepet-video-0724	media_hivatkozas	src	
2	<iframe frameborder=no height=@STYLE src=@LINK width=@STYLE>	0.0	0.0	0.0	https://vs.hu/magazin/osszes/twiplomacia-elerkezhet-a-digitalis-diplomacia-kora-0329 https://vs.hu/magazin/osszes/twiplomacia-elerkezhet-a-digitalis-diplomacia-kora-0329	media_hivatkozas	src	
1	<img alt=@alt border=@NUM class=@STYLE src=@LINK width=@STYLE>	0.0	0.0	0.0	https://vs.hu/magazin/osszes/franciaorszag-a-legnepszerubb-de-mi-is-ott-vagyunk-0227	media_hivatkozas	src	
1	<img alt=@alt border=@NUM src=@LINK style=@STYLE>	0.0	0.0	0.0	https://vs.hu/kozelet/osszes/a-varos-mobilon-keresztul-nezve-1130	media_hivatkozas	src	
3	<img alt=@alt class=@imageNUM @STYLE height=@STYLE src=@LINK width=@STYLE>	0.0	0.0	0.0	https://vs.hu/kozelet/osszes/melyek-a-vilag-legvallasosabb-orszagai-terkep-0719 https://vs.hu/kozelet/osszes/listaozon-nehez-lesz-kivalasztani-az-igazit-0305 https://vs.hu/kozelet/osszes/mi-tortent-ma-ukrajnaban-osszefoglalo-0219	media_hivatkozas	src	
2	<img alt=@alt class=@imageNUM height=@STYLE src=@LINK title=@title width=@STYLE>	0.0	0.0	0.0	https://vs.hu/kozelet/osszes/mar-nem-lehet-pornot-nezni-zsigo-robert-oldalan-0812 https://vs.hu/kozelet/osszes/ertelmezesi-gondokat-okoz-a-latin-a-vatikanban-1109	media_hivatkozas	src	
27	<img alt=@alt class=@imageNUM height=@STYLE src=@LINK width=@STYLE>	0.0	0.0	0.0	https://vs.hu/sport/osszes/hulye-biro-angol-biro-0414 https://vs.hu/kozelet/osszes/a-mazsihisz-nem-tagit-meg-mindig-nem-lesz-kozos-emlekezes-0221 https://vs.hu/sport/osszes/basler-a-united-maradjon-inkabb-otthon-0401 https://vs.hu/sport/osszes/nem-vezetik-be-a-golbiro-technologiat-a-bundesligaban-0324 https://vs.hu/kozelet/osszes/a-parlament-kiurult-0224	media_hivatkozas	src	
1	<img alt=@alt class=@STYLE @imageNUM @STYLE height=@STYLE src=@LINK title=@title width=@STYLE>	0.0	0.0	0.0	https://vs.hu/gazdasag/osszes/menekulnek-a-befektetok-az-orosz-beavatkozas-elol-zuhan-a-forint-0303	media_hivatkozas	src	
32	<img alt=@alt class=@STYLE @imageNUM @STYLE height=@STYLE src=@LINK width=@STYLE>	0.0	0.0	0.0	https://vs.hu/magazin/osszes/meghalt-az-egyik-legnagyobb-nemet-avantgard-muvesz-0718 https://vs.hu/kozelet/osszes/merkel-meg-mindig-belefer-a-18-eves-rucijaba-0809 https://vs.hu/kozelet/osszes/uj-stadiont-adtak-at-magyarorszagon-0421 https://vs.hu/kozelet/osszes/fideszes-de-mszp-snek-gondolja-magat-0312 https://vs.hu/kozelet/osszes/george-lakoff-orban-viktor-a-szigoru-apa-1105	media_hivatkozas	src	
1	<img alt=@alt class=@STYLE @imageNUM height=@STYLE src=@LINK style=@STYLE width=@STYLE>	0.0	0.0	0.0	https://vs.hu/kozelet/osszes/gyurcsany-honnan-van-orban-300-millios-vagyona-0214	media_hivatkozas	src	
5	<img alt=@alt class=@STYLE @imageNUM height=@STYLE src=@LINK title=@title width=@STYLE>	0.0	0.0	0.0	https://vs.hu/kozelet/osszes/van-vagy-nincs-valasztasa-krimnek-0315 https://vs.hu/magazin/osszes/hulljon-le-a-lepel-a-tomeghiszteriat-okozo-zold-kaverol-0527 https://vs.hu/kozelet/osszes/a-kuruc-infoval-kozosen-tamogat-egy-koncertet-az-mtva-musorgyartoja-1223 https://vs.hu/kozelet/osszes/magyar-taxis-nem-fel-a-google-taxitol-0619 https://vs.hu/sport/osszes/mi-mast-lehetne-karacsony-masnapjatol-csinalni-1229	media_hivatkozas	src	
2702	<img alt=@alt class=@STYLE @imageNUM height=@STYLE src=@LINK width=@STYLE>	0.0	0.0	0.0	https://vs.hu/magazin/osszes/ketszazezren-jelentkeztek-a-marsbeli-valosagshowba-1213 https://vs.hu/kozelet/osszes/ez-lesz-a-multad-tanuld-meg-zsido-szervezetek-es-a-holokauszt-emlekev-0206 https://vs.hu/gazdasag/osszes/orban-baratjahoz-kerult-a-fradi-stadiont-is-epito-market-zrt-0917 https://vs.hu/kozelet/osszes/kis-magyar-robbantas-tortenelem-0113 https://vs.hu/sport/osszes/horvatorszag-tankok-finom-muszerekkel-0611	media_hivatkozas	src	
1	<img alt=@alt class=@STYLE @imageNUM src=@LINK width=@STYLE>	0.0	0.0	0.0	https://vs.hu/magazin/osszes/thor-a-legtokosebb-isten-1210	media_hivatkozas	src	
2	<img alt=@alt class=@STYLE @STYLE @imageNUM @STYLE height=@STYLE src=@LINK width=@STYLE>	0.0	0.0	0.0	https://vs.hu/kozelet/osszes/baloldali-kozoskodes-mesterhazy-lesz-a-miniszterelnok-jelolt-0108 https://vs.hu/magazin/osszes/sikerre-vittek-a-100-eve-elbukott-antarktiszi-expediciot-0209	media_hivatkozas	src	
6	<img alt=@alt class=@STYLE @STYLE @imageNUM description=>	0.0	0.0	0.0	https://vs.hu/sport/osszes/del-korea-csipkehorgolas-berajzolt-mintara-0627 https://vs.hu/sport/osszes/del-korea-csipkehorgolas-berajzolt-mintara-0627 https://vs.hu/sport/osszes/del-korea-csipkehorgolas-berajzolt-mintara-0627 https://vs.hu/sport/osszes/del-korea-csipkehorgolas-berajzolt-mintara-0627 https://vs.hu/sport/osszes/del-korea-csipkehorgolas-berajzolt-mintara-0627	null	default	
9	<img alt=@alt class=@STYLE @STYLE @imageNUM height=@STYLE src=@LINK style=@STYLE width=@STYLE>	0.0	0.0	0.0	https://vs.hu/magazin/osszes/nehany-haromszog-egy-telefon-es-kesz-is-a-notch-0620 https://vs.hu/magazin/osszes/vilaghoditasra-kesz-a-magyar-modulo-busz-0417 https://vs.hu/kozelet/osszes/budzsealapozas-neveloszulok-zsebszerzodes-ujratoltve-1123 https://vs.hu/magazin/osszes/az-iphone-osok-sincsenek-biztonsagban-barki-ellophatja-az-adataikat-0722 https://vs.hu/magazin/osszes/nehany-haromszog-egy-telefon-es-kesz-is-a-notch-0620	media_hivatkozas	src	
1	<img alt=@alt class=@STYLE @STYLE @imageNUM height=@STYLE src=@LINK title=@title width=@STYLE>	0.0	0.0	0.0	https://vs.hu/magazin/osszes/superman-batman-es-wonder-woman-egy-filmben-0428	media_hivatkozas	src	
2983	<img alt=@alt class=@STYLE @STYLE @imageNUM height=@STYLE src=@LINK width=@STYLE>	0.0	0.0	0.0	https://vs.hu/kozelet/osszes/a-diskurzus-nem-a-kulhoniakrol-szol-interju-bardi-nandor-tortenesszel-1205 https://vs.hu/sport/osszes/ferfi-kezi-bl-csaszar-csapata-ellen-jatszik-a-veszprem-0401 https://vs.hu/sport/osszes/a-nemetek-tok-jok-voltak-elmeletben-0704 https://vs.hu/sport/osszes/reakciok-berlintol-buenos-airesig-0714 https://vs.hu/sport/osszes/a-marhatokany-es-a-spori-csinalta-ki-hondurast-0616	media_hivatkozas	src	
1	<img alt=@alt class=@STYLE @STYLE @imageNUM src=@LINK width=@STYLE>	0.0	0.0	0.0	https://vs.hu/kozelet/osszes/ot-evvel-del-piero-utan-1105	media_hivatkozas	src	
