frequency	tag	average_word_count	average_descendant_num	immediate_texts_average_length	URL_example	hivatkozas	preserved_attribute
58	<iframe allow=encrypted-media allowfullscreen= frameborder=@NUM gesture=media height=@STYLE src=@LINK width=@STYLE>	0.0	0.0	0.0	https://nepszava.hu/json/cikk.json?id=1149230_tuzvesz-liverpoolban-1600-auto-semmisult-meg-video https://nepszava.hu/json/cikk.json?id=1148906_erre-figyeljen-ha-pirotechnikai-eszkozt-vasarol-video https://nepszava.hu/json/cikk.json?id=1148400_ufo-laz-amerikaban-video https://nepszava.hu/json/cikk.json?id=1147006_ime-o-az-ev-noje-video https://nepszava.hu/json/cikk.json?id=1148687_eldolt-nem-lesz-feher-karacsony	beagyazott_tartalom	src
1335	<iframe allowtransparency=true frameborder=@NUM height=@STYLE scrolling=no src=@LINK style=@STYLE width=@STYLE>	0.0	0.0	0.0	https://nepszava.hu/json/cikk.json?id=1106743_vonat-figyelteti-a-fidesz https://nepszava.hu/json/cikk.json?id=1147115_ujra-jar-a-4-es-es-a-6-os-villamos https://nepszava.hu/json/cikk.json?id=1127890_majus-1-itt-unnepelnek-az-ellenzeki-partok-olvasson https://nepszava.hu/json/cikk.json?id=1112989_koncz-zsuzsa-ujra-a-csucson https://nepszava.hu/json/cikk.json?id=1127306_ne-vasarolj-a-ceu-ban-ezrek-tuntettek-a-viccparttal-fotok	beagyazott_tartalom	src
440	<iframe allowfullscreen= frameborder=@NUM height=@STYLE src=@LINK style=@STYLE width=@STYLE>	0.0	0.0	0.0	https://nepszava.hu/json/cikk.json?id=3031115_vonat-gazolt-halalra-egy-embert-nyiregyhazan https://nepszava.hu/json/cikk.json?id=3042297_langolo-auto-miatt-benult-meg-az-m-7es-balatonvilagosnal https://nepszava.hu/json/cikk.json?id=3041166_lovoldozes-volt-egy-francia-mecset-elott-ketten-megserultek https://nepszava.hu/json/cikk.json?id=3014987_szazmillio-forintos-fosztogatas-motoros-rablok-tamadtak-a-belvarosi-penzvaltora https://nepszava.hu/json/cikk.json?id=3033623_busz-es-hev-utkozott-tobben-megserultek-csomoron	beagyazott_tartalom	src
39	<iframe allowfullscreen= aria-hidden=false frameborder=@NUM height=@STYLE src=@LINK style=@STYLE tabindex=@NUM width=@STYLE>	0.0	0.0	0.0	https://nepszava.hu/json/cikk.json?id=3084068_agyonlottek-ket-embert-egy-fuggetlenseg-napi-bulin-greenville-ben-video https://nepszava.hu/json/cikk.json?id=3092456_nyugtalanitoan-kozel-repultek-kina-harci-gepei-a-tajvani-szoroshoz https://nepszava.hu/json/cikk.json?id=3087408_ketto-az-egyben-kampany-muller-cecilia-a-roszkei-kerites-elott-beszelt-a-koronavirusrol https://nepszava.hu/json/cikk.json?id=3070409_koronavirusos-beteg-miatt-uritettek-ki-egy-egesz-budapesti-irodahazat https://nepszava.hu/json/cikk.json?id=3071860_kamionbaleset-miatt-zartak-le-az-m5-ost	beagyazott_tartalom	src
1	<iframe frameborder=@NUM id=virusterepasztal src=@LINK style=@STYLE>	0.0	0.0	0.0	https://nepszava.hu/json/cikk.json?id=3116773_jatsszon-orban-viktort	beagyazott_tartalom	src
7	<div class=lead-text>	0.0	0.0	0.0	https://nepszava.hu/json/cikk.json?id=1156179_szornyethalt-egy-ember-az-arokba-csapodott-autoban-dunakeszinel-fotok https://nepszava.hu/json/cikk.json?id=1145592_kamionbaleset-csepelen-sulyosan-serult-a-sofor-fotok https://nepszava.hu/json/cikk.json?id=1146883_soha-nem-er-at-a-tuloldalra-halalra-gazoltak-a-zebran https://nepszava.hu/json/cikk.json?id=1161942_tobb-mint-egy-honapja-eltunt-egy-17-eves-debreceni-lany https://nepszava.hu/json/cikk.json?id=1153135_a-dunabol-mentettek-ki-egy-ferfit-a-rendorok	null	default
31	<img height=@STYLE src=@LINK style=@STYLE width=@STYLE>	0.0	0.0	0.0	https://nepszava.hu/json/cikk.json?id=1000140_tuzoltok-vagtak-ki-a-vaskarok-koze-szorult-auto-utasait https://nepszava.hu/json/cikk.json?id=1001891_egyszeru-de-megbizhato https://nepszava.hu/json/cikk.json?id=1003583_bekemenet-toborzas-a-cba-vezer-teritesi-talalkozora-invitalja-a-nepszava-foszerkesztojet https://nepszava.hu/json/cikk.json?id=1002203_megjelent-moldova-gyorgy-uj-konyve https://nepszava.hu/json/cikk.json?id=1003592_egeszsegugy-ujraelesztes-helyett-placebo	media_hivatkozas	src
3	<a name=_GoBack>	0.0	0.0	0.0	https://nepszava.hu/json/cikk.json?id=1121066_raklapokbol-raktak-ki-az-alexandra-tartozasat https://nepszava.hu/json/cikk.json?id=1010253_magyar-csapat-a-fidesz-politikai-ellenfelei-nem-magyarok https://nepszava.hu/json/cikk.json?id=1149362_gyerekek-rettegtetese-a-rendelet-szabotalasara-szolit-fel-a-ckp	hivatkozas	default
20	<div class=entry-content>	0.0	0.0	0.0	https://nepszava.hu/json/cikk.json?id=1026592_divat-dietak https://nepszava.hu/json/cikk.json?id=1024835_nem-pislogunk-eleget https://nepszava.hu/json/cikk.json?id=1028581_alvaszavarok-nyaron https://nepszava.hu/json/cikk.json?id=1006565_a-sok-zsiros-etel-es-alkohol-komoly-gondokat-okozhat https://nepszava.hu/json/cikk.json?id=1003175_orszagos-munkahelyi-stressz-felmeres-indul	null	default
6	<div class=wp-caption @STYLE id=@attachmentNUM>	0.0	0.5	0.0	https://nepszava.hu/json/cikk.json?id=1022655_hasznos-es-karos-vadon-termo-novenyek https://nepszava.hu/json/cikk.json?id=1010453_gyerekkorban-elozheto-meg-az-idoskori-csontritkulas https://nepszava.hu/json/cikk.json?id=1008771_feltoltheto-szivizomerosito-pacemakert-ultettek-be-hazankban-elsokent https://nepszava.hu/json/cikk.json?id=1020953_megmentettek-a-3-emeletrol-lezuhant-fiut https://nepszava.hu/json/cikk.json?id=1011888_ferfimeddoseg-az-eletmod-is-felelos-lehet	null	default
